iter	Passed	Remaining
0	130	130866
1	131	65784
2	132	44085
3	133	33208
4	134	26756
5	136	22539
6	136	19411
7	137	17105
8	139	15338
9	140	13871
10	141	12698
11	142	11713
12	143	10873
13	144	10155
14	145	9523
15	146	9004
16	147	8544
17	149	8156
18	150	7793
19	152	7477
20	154	7204
21	157	7015
22	159	6772
23	160	6545
24	162	6341
25	163	6131
26	164	5926
27	166	5777
28	167	5614
29	169	5474
30	171	5372
31	174	5265
32	175	5153
33	177	5056
34	179	4955
35	181	4864
36	183	4776
37	185	4695
38	187	4613
39	188	4528
40	190	4458
41	191	4369
42	192	4283
43	193	4212
44	195	4148
45	197	4093
46	199	4041
47	201	3987
48	202	3929
49	204	3889
50	205	3823
51	207	3777
52	208	3728
53	210	3683
54	212	3648
55	214	3611
56	216	3576
57	218	3543
58	220	3510
59	222	3480
60	223	3444
61	225	3412
62	227	3386
63	229	3360
64	231	3330
65	233	3298
66	234	3262
67	236	3241
68	238	3219
69	241	3201
70	242	3177
71	244	3148
72	245	3120
73	246	3090
74	248	3059
75	249	3037
76	251	3012
77	253	2991
78	254	2965
79	256	2951
80	257	2925
81	259	2902
82	259	2870
83	260	2846
84	262	2823
85	263	2801
86	264	2779
87	266	2761
88	268	2746
89	269	2724
90	270	2705
91	272	2686
92	273	2665
93	275	2653
94	276	2629
95	277	2608
96	278	2589
97	279	2573
98	281	2557
99	282	2538
100	283	2519
101	284	2501
102	285	2482
103	286	2464
104	287	2447
105	288	2429
106	289	2412
107	289	2395
108	290	2378
109	291	2361
110	292	2345
111	294	2332
112	295	2320
113	296	2305
114	297	2289
115	298	2277
116	299	2261
117	302	2258
118	303	2245
119	304	2231
120	305	2220
121	306	2204
122	307	2190
123	308	2176
124	308	2161
125	309	2147
126	310	2133
127	311	2120
128	312	2107
129	313	2094
130	313	2082
131	314	2069
132	315	2058
133	317	2048
134	318	2038
135	318	2026
136	319	2015
137	320	2004
138	321	1993
139	322	1982
140	323	1972
141	324	1959
142	325	1949
143	326	1940
144	327	1931
145	328	1920
146	329	1911
147	330	1902
148	331	1893
149	332	1885
150	333	1875
151	334	1866
152	335	1857
153	336	1848
154	337	1838
155	338	1831
156	339	1823
157	340	1815
158	341	1805
159	342	1796
160	342	1785
161	343	1776
162	344	1767
163	344	1758
164	345	1749
165	346	1743
166	347	1735
167	349	1728
168	350	1722
169	351	1714
170	352	1706
171	353	1700
172	354	1695
173	355	1688
174	356	1680
175	357	1672
176	357	1664
177	358	1657
178	359	1649
179	360	1642
180	361	1636
181	362	1630
182	363	1623
183	364	1615
184	365	1608
185	366	1602
186	366	1595
187	367	1588
188	368	1582
189	369	1575
190	370	1568
191	371	1561
192	371	1554
193	372	1547
194	373	1540
195	374	1534
196	374	1527
197	375	1520
198	376	1515
199	377	1509
200	378	1504
201	379	1498
202	380	1492
203	381	1486
204	381	1481
205	382	1475
206	383	1470
207	384	1465
208	385	1459
209	386	1454
210	387	1448
211	388	1442
212	388	1436
213	389	1431
214	390	1426
215	391	1420
216	392	1416
217	393	1412
218	394	1408
219	395	1403
220	396	1398
221	397	1393
222	398	1388
223	399	1384
224	400	1379
225	401	1374
226	402	1369
227	402	1364
228	403	1358
229	404	1354
230	405	1349
231	406	1344
232	406	1338
233	407	1335
234	408	1330
235	409	1326
236	410	1322
237	411	1317
238	412	1313
239	413	1309
240	414	1305
241	415	1300
242	416	1296
243	416	1291
244	418	1289
245	419	1285
246	420	1283
247	422	1281
248	424	1279
249	425	1275
250	426	1271
251	426	1267
252	427	1263
253	428	1258
254	429	1255
255	430	1251
256	431	1247
257	432	1244
258	433	1240
259	434	1236
260	434	1231
261	435	1227
262	436	1223
263	437	1219
264	438	1216
265	439	1213
266	440	1209
267	441	1205
268	442	1201
269	442	1197
270	443	1194
271	444	1190
272	446	1188
273	447	1186
274	448	1182
275	449	1178
276	450	1175
277	451	1171
278	451	1167
279	452	1163
280	453	1161
281	454	1157
282	455	1154
283	456	1151
284	457	1147
285	458	1143
286	459	1140
287	459	1137
288	460	1134
289	462	1131
290	462	1127
291	463	1123
292	464	1120
293	465	1116
294	465	1113
295	466	1109
296	467	1106
297	468	1103
298	469	1101
299	470	1098
300	471	1095
301	472	1092
302	473	1089
303	474	1085
304	475	1082
305	476	1080
306	477	1078
307	478	1074
308	479	1071
309	479	1068
310	480	1064
311	481	1061
312	482	1058
313	483	1055
314	484	1053
315	485	1050
316	486	1047
317	487	1044
318	487	1041
319	488	1038
320	489	1035
321	490	1033
322	491	1030
323	492	1028
324	493	1024
325	494	1021
326	494	1018
327	495	1015
328	496	1012
329	497	1009
330	498	1006
331	499	1005
332	500	1002
333	501	999
334	502	996
335	503	994
336	504	991
337	505	989
338	505	986
339	506	983
340	507	981
341	508	978
342	509	975
343	510	973
344	511	970
345	512	967
346	512	965
347	513	962
348	515	960
349	516	958
350	517	956
351	518	954
352	519	951
353	519	948
354	520	946
355	521	943
356	522	941
357	523	938
358	524	936
359	525	934
360	526	932
361	527	929
362	528	926
363	529	925
364	530	923
365	531	920
366	532	918
367	533	916
368	534	913
369	535	911
370	536	909
371	537	906
372	537	904
373	538	901
374	540	900
375	540	897
376	541	894
377	542	892
378	543	890
379	544	888
380	545	886
381	546	883
382	547	881
383	547	878
384	548	876
385	549	874
386	550	871
387	551	869
388	552	867
389	553	865
390	553	862
391	555	861
392	556	859
393	557	856
394	557	854
395	558	852
396	559	850
397	561	848
398	561	846
399	562	844
400	563	842
401	564	839
402	565	837
403	566	835
404	566	832
405	567	830
406	568	828
407	569	826
408	570	823
409	570	821
410	571	819
411	572	817
412	573	814
413	574	812
414	575	810
415	576	809
416	577	807
417	578	805
418	579	803
419	580	801
420	580	798
421	581	796
422	582	794
423	582	791
424	583	789
425	584	787
426	585	785
427	585	782
428	586	780
429	587	778
430	588	776
431	589	774
432	590	772
433	591	770
434	592	768
435	592	766
436	593	764
437	594	762
438	595	760
439	595	758
440	596	756
441	597	754
442	598	752
443	599	750
444	600	748
445	601	746
446	601	744
447	602	742
448	603	740
449	604	738
450	604	736
451	605	734
452	606	732
453	607	730
454	608	728
455	609	727
456	610	725
457	611	723
458	611	721
459	612	719
460	613	717
461	614	715
462	614	713
463	615	711
464	616	709
465	617	707
466	618	705
467	618	703
468	619	701
469	620	699
470	621	697
471	622	696
472	622	694
473	623	692
474	624	690
475	625	688
476	625	686
477	626	684
478	627	682
479	628	680
480	628	678
481	629	676
482	630	674
483	631	673
484	632	671
485	632	669
486	634	667
487	634	666
488	635	664
489	636	662
490	637	660
491	638	659
492	639	657
493	640	655
494	641	653
495	641	652
496	642	650
497	643	648
498	644	646
499	644	644
500	645	642
501	646	641
502	646	639
503	647	637
504	648	635
505	649	633
506	650	632
507	651	630
508	652	629
509	653	627
510	654	625
511	654	624
512	655	622
513	656	620
514	657	618
515	657	616
516	658	615
517	659	613
518	659	611
519	660	609
520	661	608
521	662	606
522	663	604
523	664	603
524	665	602
525	666	600
526	667	599
527	669	598
528	669	596
529	671	595
530	671	593
531	672	591
532	673	590
533	674	588
534	674	586
535	675	584
536	676	583
537	677	581
538	677	579
539	678	578
540	679	576
541	680	574
542	680	573
543	681	571
544	682	570
545	683	568
546	684	566
547	685	565
548	686	563
549	687	562
550	687	560
551	688	558
552	689	557
553	690	555
554	690	553
555	691	552
556	692	550
557	693	549
558	693	547
559	694	545
560	695	544
561	696	542
562	697	541
563	698	539
564	698	538
565	699	536
566	700	534
567	701	533
568	702	531
569	702	530
570	703	528
571	704	527
572	705	525
573	705	523
574	706	522
575	707	520
576	708	519
577	709	517
578	709	516
579	710	514
580	711	512
581	711	511
582	712	509
583	713	508
584	714	506
585	715	505
586	716	503
587	716	502
588	717	500
589	718	499
590	719	497
591	719	496
592	720	494
593	721	493
594	722	491
595	723	490
596	723	488
597	724	487
598	725	485
599	726	484
600	726	482
601	727	480
602	728	479
603	729	478
604	730	476
605	730	475
606	731	473
607	732	472
608	733	470
609	733	469
610	734	467
611	735	466
612	736	464
613	736	463
614	737	461
615	738	460
616	739	458
617	739	457
618	740	455
619	741	454
620	742	452
621	743	451
622	743	450
623	744	448
624	745	447
625	746	446
626	747	444
627	748	443
628	748	441
629	749	440
630	750	438
631	750	437
632	751	435
633	752	434
634	753	432
635	753	431
636	754	430
637	755	428
638	756	427
639	757	425
640	757	424
641	758	423
642	759	421
643	760	420
644	761	419
645	762	417
646	763	416
647	764	415
648	764	413
649	765	412
650	766	410
651	767	409
652	767	407
653	768	406
654	769	405
655	770	403
656	771	402
657	771	401
658	772	399
659	773	398
660	773	396
661	774	395
662	775	394
663	776	392
664	777	391
665	778	390
666	778	388
667	779	387
668	780	385
669	780	384
670	781	383
671	782	382
672	783	380
673	784	379
674	785	378
675	786	376
676	786	375
677	787	374
678	788	372
679	789	371
680	790	370
681	791	369
682	792	367
683	792	366
684	793	364
685	794	363
686	795	362
687	796	361
688	797	359
